#year,month,day,lat,lon,frph,instrument
2023,4,5,47.96,123.64,33.23,AHI Himawari-9
2023,4,5,47.96,123.66,33.23,AHI Himawari-9
2023,4,5,47.96,124.22,19.46,AHI Himawari-9
2023,4,5,47.96,125.4,10.42,AHI Himawari-9
2023,4,5,47.96,125.42,10.42,AHI Himawari-9
2023,4,5,47.96,126.1,13.35,AHI Himawari-9
2023,4,5,47.96,126.12,11.59,AHI Himawari-9
2023,4,5,47.96,126.14,11.59,AHI Himawari-9
2023,4,5,47.96,126.16,9.26,AHI Himawari-9
2023,4,5,47.94,123.62,112.55,AHI Himawari-9
2023,4,5,47.94,123.64,112.55,AHI Himawari-9
2023,4,5,47.94,123.66,33.23,AHI Himawari-9
2023,4,5,47.94,123.74,83.5,AHI Himawari-9
2023,4,5,47.94,123.76,83.5,AHI Himawari-9
2023,4,5,47.94,124.22,19.46,AHI Himawari-9
2023,4,5,47.94,124.68,6.87,AHI Himawari-9
2023,4,5,47.94,124.7,6.74,AHI Himawari-9
2023,4,5,47.94,124.72,6.74,AHI Himawari-9
2023,4,5,47.94,126.1,12.72,AHI Himawari-9
2023,4,5,47.94,126.12,9.46,AHI Himawari-9
2023,4,5,47.94,126.14,9.46,AHI Himawari-9
2023,4,5,47.94,126.16,6.87,AHI Himawari-9
2023,4,5,47.92,123.62,66.67,AHI Himawari-9
2023,4,5,47.92,123.64,66.67,AHI Himawari-9
2023,4,5,47.92,123.66,46.25,AHI Himawari-9
2023,4,5,47.92,123.68,33.83,AHI Himawari-9
2023,4,5,47.92,123.7,33.83,AHI Himawari-9
2023,4,5,47.92,123.74,70.88,AHI Himawari-9
2023,4,5,47.92,123.76,70.88,AHI Himawari-9
2023,4,5,47.92,124.56,45.72,AHI Himawari-9
2023,4,5,47.92,124.68,6.87,AHI Himawari-9
2023,4,5,47.92,124.72,6.74,AHI Himawari-9
2023,4,5,47.92,125.42,3.22,AHI Himawari-9
2023,4,5,47.92,125.44,3.22,AHI Himawari-9
2023,4,5,47.92,126.18,6.87,AHI Himawari-9
2023,4,5,47.9,123.64,66.67,AHI Himawari-9
2023,4,5,47.9,123.66,46.21,AHI Himawari-9
2023,4,5,47.9,123.68,46.21,AHI Himawari-9
2023,4,5,47.9,123.7,33.83,AHI Himawari-9
2023,4,5,47.9,123.76,70.88,AHI Himawari-9
2023,4,5,47.9,123.8,10.82,AHI Himawari-9
2023,4,5,47.9,124.56,45.72,AHI Himawari-9
2023,4,5,47.9,124.58,45.72,AHI Himawari-9
2023,4,5,47.9,125.64,17.03,AHI Himawari-9
2023,4,5,47.88,123.4,17.53,AHI Himawari-9
2023,4,5,47.88,123.42,17.53,AHI Himawari-9
2023,4,5,47.88,123.66,108.53,AHI Himawari-9
2023,4,5,47.88,123.68,87.61,AHI Himawari-9
2023,4,5,47.88,123.7,19.52,AHI Himawari-9
2023,4,5,47.88,123.88,73.9,AHI Himawari-9
2023,4,5,47.88,124.58,25.46,AHI Himawari-9
2023,4,5,47.88,125.64,17.03,AHI Himawari-9
2023,4,5,47.88,125.66,17.03,AHI Himawari-9
2023,4,5,47.86,123.4,46.72,AHI Himawari-9
2023,4,5,47.86,123.42,46.72,AHI Himawari-9
2023,4,5,47.86,123.44,40.09,AHI Himawari-9
2023,4,5,47.86,123.48,62.47,AHI Himawari-9
2023,4,5,47.86,123.66,47.15,AHI Himawari-9
2023,4,5,47.86,123.7,103.06,AHI Himawari-9
